Fast Name,Charged Name,Fast Type,Fast Power,Fast Energy,Fast Power Per Energy,Charged Type,Charged Power,Charged Energy,Charged Power Per Energy,Charged Rate
Feint Attack,Leech Life,Dark,10,9,1.1111111111111112,Bug,0,0,,0.0
Bubble,Leech Life,Water,12,14,0.8571428571428571,Bug,0,0,,0.0
Psycho Cut,Crush Claw,Psychic,5,8,0.625,Normal,0,0,,0.0
Razor Leaf,Struggle,Grass,13,7,1.8571428571428572,Normal,35,0,,0.0
Take Down,Struggle,Normal,8,10,0.8,Normal,35,0,,0.0
Poison Jab,Leech Life,Poison,10,7,1.4285714285714286,Bug,0,0,,0.0
Low Kick,Struggle,Fighting,6,6,1.0,Normal,35,0,,0.0
Wing Attack,Crush Claw,Flying,8,9,0.8888888888888888,Normal,0,0,,0.0
Poison Jab,Crush Claw,Poison,10,7,1.4285714285714286,Normal,0,0,,0.0
Wing Attack,Leech Life,Flying,8,9,0.8888888888888888,Bug,0,0,,0.0
Bullet Punch,Crush Claw,Steel,9,10,0.9,Normal,0,0,,0.0
Shadow Claw,Leech Life,Ghost,9,6,1.5,Bug,0,0,,0.0
Scratch,Crush Claw,Normal,6,4,1.5,Normal,0,0,,0.0
Rock Smash,Crush Claw,Fighting,15,10,1.5,Normal,0,0,,0.0
Rock Throw,Struggle,Rock,12,7,1.7142857142857142,Normal,35,0,,0.0
Extrasensory,Crush Claw,Psychic,12,12,1.0,Normal,0,0,,0.0
Bullet Seed,Struggle,Grass,8,14,0.5714285714285714,Normal,35,0,,0.0
Sucker Punch,Struggle,Dark,7,8,0.875,Normal,35,0,,0.0
Waterfall,Struggle,Water,16,8,2.0,Normal,35,0,,0.0
Psycho Cut,Leech Life,Psychic,5,8,0.625,Bug,0,0,,0.0
Tackle,Crush Claw,Normal,5,5,1.0,Normal,0,0,,0.0
Powder Snow,Leech Life,Ice,6,15,0.4,Bug,0,0,,0.0
Struggle Bug,Leech Life,Bug,15,15,1.0,Bug,0,0,,0.0
Sucker Punch,Leech Life,Dark,7,8,0.875,Bug,0,0,,0.0
Thunder Fang,Struggle,Electric,12,16,0.75,Normal,35,0,,0.0
Quick Attack,Struggle,Normal,8,10,0.8,Normal,35,0,,0.0
Splash,Leech Life,Water,0,20,0.0,Bug,0,0,,0.0
Volt Switch,Crush Claw,Electric,14,21,0.6666666666666666,Normal,0,0,,0.0
Infestation,Struggle,Bug,10,14,0.7142857142857143,Normal,35,0,,0.0
Shadow Claw,Crush Claw,Ghost,9,6,1.5,Normal,0,0,,0.0
