name,weaknesses,resistances
5th-anniversary-pikachu,Ground,"Electric, Flying, Steel"
abomasnow,"Bug, Fighting, Fire, Flying, Poison, Rock, Steel","Electric, Grass, Ground, Water"
abra,"Bug, Dark, Ghost","Fighting, Psychic"
absol,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
accelgor,"Fire, Flying, Rock","Fighting, Grass, Ground"
aegislash-blade,"Dark, Fire, Ghost, Ground","Bug, Dragon, Fairy, Fighting, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
aegislash-shield,"Dark, Fire, Ghost, Ground","Bug, Dragon, Fairy, Fighting, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
aerodactyl,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
aggron,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
aipom,Fighting,Ghost
alakazam,"Bug, Dark, Ghost","Fighting, Psychic"
alcremie,"Poison, Steel","Bug, Dark, Dragon, Fighting"
alolan-diglett,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
alolan-dugtrio,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
alolan-exeggutor,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
alolan-geodude,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
alolan-golem,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
alolan-graveler,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
alolan-grimer,Ground,"Dark, Ghost, Grass, Poison, Psychic"
alolan-marowak,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
alolan-meowth,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
alolan-muk,Ground,"Dark, Ghost, Grass, Poison, Psychic"
alolan-ninetales,"Fire, Poison, Rock, Steel","Bug, Dark, Dragon, Ice"
alolan-persian,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
alolan-raichu,"Bug, Dark, Ghost, Ground","Electric, Fighting, Flying, Psychic, Steel"
alolan-raticate,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
alolan-rattata,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
alolan-sandshrew,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Grass, Ice, Ice, Normal, Poison, Psychic"
alolan-sandslash,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Grass, Ice, Ice, Normal, Poison, Psychic"
alolan-vulpix,"Fighting, Fire, Rock, Steel",Ice
alomomola,"Electric, Grass","Fire, Ice, Steel, Water"
altaria,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
amaura,"Fighting, Grass, Ground, Rock, Steel, Water","Flying, Ice, Normal, Poison"
ambipom,Fighting,Ghost
amoonguss,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
ampharos,Ground,"Electric, Flying, Steel"
annihilape,"Fairy, Flying, Ghost, Psychic","Bug, Fighting, Normal, Poison, Rock"
anorith,"Rock, Steel, Water","Normal, Poison"
appletun,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
applin,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
araquanid,"Electric, Flying, Rock","Fighting, Ground, Ice, Steel, Water"
arbok,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
arboliva,"Bug, Fighting, Fire, Flying, Ice, Poison","Electric, Ghost, Grass, Ground, Water"
arcanine,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
arceus,Fighting,Ghost
archaludon,"Fighting, Ground","Bug, Electric, Flying, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
archen,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
archeops,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
arctibax,"Dragon, Fairy, Fighting, Rock, Steel","Electric, Grass, Water"
arctovish,"Electric, Fighting, Grass, Rock","Ice, Water"
arctozolt,"Fighting, Fire, Ground, Rock","Electric, Flying, Ice"
ariados,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
armaldo,"Rock, Steel, Water","Normal, Poison"
armarouge,"Dark, Ghost, Ground, Rock, Water","Fairy, Fighting, Fire, Grass, Ice, Psychic, Steel"
armored-mewtwo,"Bug, Dark, Ghost","Fighting, Psychic"
aromatisse,"Poison, Steel","Bug, Dark, Dragon, Fighting"
aron,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
arrokuda,"Electric, Grass","Fire, Ice, Steel, Water"
articuno,"Electric, Fire, Rock, Steel","Bug, Grass, Ground"
