Fast Name,Charged Name,Fast Type,Fast Power,Fast Energy,Fast Power Per Energy,Charged Type,Charged Power,Charged Energy,Charged Power Per Energy,Charged Rate
Wing Attack,Water Gun Blastoise,Flying,5,8,0.625,Water,6,4,1.5,1.0
Hex,Water Gun Blastoise,Ghost,6,12,0.5,Water,6,4,1.5,1.0
Struggle Bug,Water Gun Blastoise,Bug,9,8,1.125,Water,6,4,1.5,1.0
Poison Sting,Water Gun Blastoise,Poison,3,9,0.3333333333333333,Water,6,4,1.5,1.0
Frost Breath,Water Gun Blastoise,Ice,7,5,1.4,Water,6,4,1.5,1.0
Geomancy,Water Gun Blastoise,Fairy,4,13,0.3076923076923077,Water,6,4,1.5,1.0
Snarl,Water Gun Blastoise,Dark,5,13,0.38461538461538464,Water,6,4,1.5,1.0
Karate Chop,Water Gun Blastoise,Fighting,5,8,0.625,Water,6,4,1.5,1.0
Ice Shard,Water Gun Blastoise,Ice,9,10,0.9,Water,6,4,1.5,1.0
Sand Attack,Water Gun Blastoise,Ground,2,4,0.5,Water,6,4,1.5,1.0
Gust,Water Gun Blastoise,Flying,16,12,1.3333333333333333,Water,6,4,1.5,1.0
Pound,Water Gun Blastoise,Normal,4,4,1.0,Water,6,4,1.5,1.0
Low Kick,Water Gun Blastoise,Fighting,4,5,0.8,Water,6,4,1.5,1.0
Mud Shot,Water Gun Blastoise,Ground,3,9,0.3333333333333333,Water,6,4,1.5,1.0
Thunder Fang,Water Gun Blastoise,Electric,8,5,1.6,Water,6,4,1.5,1.0
Dragon Tail,Water Gun Blastoise,Dragon,13,9,1.4444444444444444,Water,6,4,1.5,1.0
Magical Leaf,Water Gun Blastoise,Grass,10,10,1.0,Water,6,4,1.5,1.0
Razor Leaf,Water Gun Blastoise,Grass,10,4,2.5,Water,6,4,1.5,1.0
Waterfall,Water Gun Blastoise,Water,12,8,1.5,Water,6,4,1.5,1.0
Vine Whip,Water Gun Blastoise,Grass,5,8,0.625,Water,6,4,1.5,1.0
Hidden Power,Water Gun Blastoise,Normal,9,8,1.125,Water,6,4,1.5,1.0
Counter,Water Gun Blastoise,Fighting,8,7,1.1428571428571428,Water,6,4,1.5,1.0
Charm,Water Gun Blastoise,Fairy,15,6,2.5,Water,6,4,1.5,1.0
Quick Attack,Water Gun Blastoise,Normal,5,8,0.625,Water,6,4,1.5,1.0
Feint Attack,Water Gun Blastoise,Dark,6,6,1.0,Water,6,4,1.5,1.0
Charge Beam,Water Gun Blastoise,Electric,5,11,0.45454545454545453,Water,6,4,1.5,1.0
Bubble,Water Gun Blastoise,Water,8,11,0.7272727272727273,Water,6,4,1.5,1.0
Fire Spin,Water Gun Blastoise,Fire,10,10,1.0,Water,6,4,1.5,1.0
Yawn,Water Gun Blastoise,Normal,0,12,0.0,Water,6,4,1.5,1.0
Rock Throw,Water Gun Blastoise,Rock,8,5,1.6,Water,6,4,1.5,1.0
Fairy Wind,Water Gun Blastoise,Fairy,3,9,0.3333333333333333,Water,6,4,1.5,1.0
Double Kick,Water Gun Blastoise,Fighting,8,12,0.6666666666666666,Water,6,4,1.5,1.0
Extrasensory,Water Gun Blastoise,Psychic,8,10,0.8,Water,6,4,1.5,1.0
Present,Water Gun Blastoise,Normal,3,12,0.25,Water,6,4,1.5,1.0
Fury Cutter,Water Gun Blastoise,Bug,2,4,0.5,Water,6,4,1.5,1.0
Ice Fang,Water Gun Blastoise,Ice,8,5,1.6,Water,6,4,1.5,1.0
Iron Tail,Water Gun Blastoise,Steel,10,7,1.4285714285714286,Water,6,4,1.5,1.0
Leafage,Water Gun Blastoise,Grass,6,7,0.8571428571428571,Water,6,4,1.5,1.0
Acid,Water Gun Blastoise,Poison,6,5,1.2,Water,6,4,1.5,1.0
Bullet Seed,Water Gun Blastoise,Grass,5,13,0.38461538461538464,Water,6,4,1.5,1.0
Bullet Punch,Water Gun Blastoise,Steel,6,7,0.8571428571428571,Water,6,4,1.5,1.0
Water Shuriken,Water Gun Blastoise,Water,6,14,0.42857142857142855,Water,6,4,1.5,1.0
Poison Jab,Water Gun Blastoise,Poison,7,7,1.0,Water,6,4,1.5,1.0
Powder Snow,Water Gun Blastoise,Ice,5,8,0.625,Water,6,4,1.5,1.0
Thunder Shock,Water Gun Blastoise,Electric,3,9,0.3333333333333333,Water,6,4,1.5,1.0
Metal Claw,Water Gun Blastoise,Steel,5,6,0.8333333333333334,Water,6,4,1.5,1.0
Shadow Claw,Water Gun Blastoise,Ghost,6,8,0.75,Water,6,4,1.5,1.0
Psycho Cut,Water Gun Blastoise,Psychic,3,9,0.3333333333333333,Water,6,4,1.5,1.0
Incinerate,Water Gun Blastoise,Fire,20,20,1.0,Water,6,4,1.5,1.0
Volt Switch,Water Gun Blastoise,Electric,12,16,0.75,Water,6,4,1.5,1.0
Mud Slap,Water Gun Blastoise,Ground,11,9,1.2222222222222223,Water,6,4,1.5,1.0
Fire Fang,Water Gun Blastoise,Fire,8,5,1.6,Water,6,4,1.5,1.0
Astonish,Water Gun Blastoise,Ghost,9,10,0.9,Water,6,4,1.5,1.0
Zen Headbutt,Water Gun Blastoise,Psychic,8,6,1.3333333333333333,Water,6,4,1.5,1.0
Air Slash,Water Gun Blastoise,Flying,9,9,1.0,Water,6,4,1.5,1.0
Confusion,Water Gun Blastoise,Psychic,16,12,1.3333333333333333,Water,6,4,1.5,1.0
Rollout,Water Gun Blastoise,Rock,5,13,0.38461538461538464,Water,6,4,1.5,1.0
Splash,Water Gun Blastoise,Water,0,12,0.0,Water,6,4,1.5,1.0
Peck,Water Gun Blastoise,Flying,6,5,1.2,Water,6,4,1.5,1.0
Metal Sound,Water Gun Blastoise,Steel,3,8,0.375,Water,6,4,1.5,1.0
Lock On,Water Gun Blastoise,Normal,1,5,0.2,Water,6,4,1.5,1.0
Infestation,Water Gun Blastoise,Bug,6,12,0.5,Water,6,4,1.5,1.0
Sucker Punch,Water Gun Blastoise,Dark,5,7,0.7142857142857143,Water,6,4,1.5,1.0
Rock Smash,Water Gun Blastoise,Fighting,9,7,1.2857142857142858,Water,6,4,1.5,1.0
Spark,Water Gun Blastoise,Electric,5,7,0.7142857142857143,Water,6,4,1.5,1.0
Steel Wing,Water Gun Blastoise,Steel,7,7,1.0,Water,6,4,1.5,1.0
Smack Down,Water Gun Blastoise,Rock,12,8,1.5,Water,6,4,1.5,1.0
Ember,Water Gun Blastoise,Fire,7,6,1.1666666666666667,Water,6,4,1.5,1.0
Take Down,Water Gun Blastoise,Normal,5,8,0.625,Water,6,4,1.5,1.0
Incinerate,Brutal Swing,Fire,20,20,1.0,Dark,65,-40,-1.625,2.0
Incinerate,Shadow Punch,Fire,20,20,1.0,Ghost,40,-35,-1.1428571428571428,2.0
Incinerate,Icicle Spear,Fire,20,20,1.0,Ice,65,-40,-1.625,2.0
Incinerate,Weather Ball Normal,Fire,20,20,1.0,Normal,55,-35,-1.5714285714285714,2.0
Incinerate,Obstruct,Fire,20,20,1.0,Dark,15,-40,-0.375,2.0
Incinerate,V Create,Fire,20,20,1.0,Fire,95,-40,-2.375,2.0
Incinerate,Leaf Blade,Fire,20,20,1.0,Grass,70,-35,-2.0,2.0
Incinerate,Bubble Beam,Fire,20,20,1.0,Water,25,-40,-0.625,2.0
Incinerate,Dragon Claw,Fire,20,20,1.0,Dragon,50,-35,-1.4285714285714286,2.0
Incinerate,Psychic Fangs,Fire,20,20,1.0,Psychic,40,-35,-1.1428571428571428,2.0
Incinerate,Glaciate,Fire,20,20,1.0,Ice,60,-40,-1.5,2.0
Incinerate,Bone Club,Fire,20,20,1.0,Ground,40,-35,-1.1428571428571428,2.0
Incinerate,Double Iron Bash,Fire,20,20,1.0,Steel,50,-35,-1.4285714285714286,2.0
Bug Bite,Water Gun Blastoise,Bug,3,3,1.0,Water,6,4,1.5,2.0
Incinerate,Magma Storm,Fire,20,20,1.0,Fire,65,-40,-1.625,2.0
Incinerate,Fire Punch,Fire,20,20,1.0,Fire,55,-40,-1.375,2.0
Incinerate,Spirit Shackle,Fire,20,20,1.0,Ghost,50,-40,-1.25,2.0
Incinerate,Night Slash,Fire,20,20,1.0,Dark,50,-35,-1.4285714285714286,2.0
Incinerate,Low Sweep,Fire,20,20,1.0,Fighting,40,-40,-1.0,2.0
Incinerate,Aqua Tail,Fire,20,20,1.0,Water,55,-35,-1.5714285714285714,2.0
Incinerate,X Scissor,Fire,20,20,1.0,Bug,65,-40,-1.625,2.0
Incinerate,Mud Bomb,Fire,20,20,1.0,Ground,60,-40,-1.5,2.0
Tackle,Water Gun Blastoise,Normal,3,3,1.0,Water,6,4,1.5,2.0
Incinerate,Cross Poison,Fire,20,20,1.0,Poison,50,-35,-1.4285714285714286,2.0
Incinerate,Breaking Swipe,Fire,20,20,1.0,Dragon,50,-35,-1.4285714285714286,2.0
Incinerate,Rock Blast,Fire,20,20,1.0,Rock,50,-40,-1.25,2.0
Incinerate,Power Up Punch,Fire,20,20,1.0,Fighting,20,-35,-0.5714285714285714,2.0
Incinerate,Flying Press,Fire,20,20,1.0,Fighting,90,-40,-2.25,2.0
Incinerate,Aerial Ace,Fire,20,20,1.0,Flying,55,-40,-1.375,2.0
Incinerate,Weather Ball Rock,Fire,20,20,1.0,Rock,55,-35,-1.5714285714285714,2.0
Incinerate,Weather Ball Ice,Fire,20,20,1.0,Ice,55,-35,-1.5714285714285714,2.0
Incinerate,Weather Ball Fire,Fire,20,20,1.0,Fire,55,-35,-1.5714285714285714,2.0
Incinerate,Psycho Boost,Fire,20,20,1.0,Psychic,70,-35,-2.0,2.0
Incinerate,Doom Desire,Fire,20,20,1.0,Steel,75,-40,-1.875,2.0
Incinerate,Weather Ball Water,Fire,20,20,1.0,Water,55,-35,-1.5714285714285714,2.0
Incinerate,Surf,Fire,20,20,1.0,Water,65,-40,-1.625,2.0
Incinerate,Drill Peck,Fire,20,20,1.0,Flying,65,-40,-1.625,2.0
Incinerate,Heart Stamp,Fire,20,20,1.0,Psychic,40,-40,-1.0,2.0
Incinerate,Ice Punch,Fire,20,20,1.0,Ice,55,-40,-1.375,2.0
Incinerate,Cross Chop,Fire,20,20,1.0,Fighting,55,-35,-1.5714285714285714,2.0
Incinerate,Sludge,Fire,20,20,1.0,Poison,50,-40,-1.25,2.0
Incinerate,Vice Grip,Fire,20,20,1.0,Normal,40,-40,-1.0,2.0
Psywave,Water Gun Blastoise,Psychic,3,2,1.5,Water,6,4,1.5,2.0
Incinerate,Brick Break,Fire,20,20,1.0,Fighting,40,-40,-1.0,2.0
Incinerate,Hydro Cannon,Fire,20,20,1.0,Water,80,-40,-2.0,2.0
Incinerate,Rest,Fire,20,20,1.0,Normal,50,-35,-1.4285714285714286,2.0
Incinerate,Sacred Sword,Fire,20,20,1.0,Fighting,60,-35,-1.7142857142857142,2.0
Incinerate,Swift,Fire,20,20,1.0,Normal,55,-40,-1.375,2.0
Incinerate,Poison Fang,Fire,20,20,1.0,Poison,45,-40,-1.125,2.0
Incinerate,Sand Tomb,Fire,20,20,1.0,Ground,25,-40,-0.625,2.0
Incinerate,Razor Shell,Fire,20,20,1.0,Water,35,-35,-1.0,2.0
Incinerate,Horn Attack,Fire,20,20,1.0,Normal,40,-35,-1.1428571428571428,2.0
Incinerate,Mirror Shot,Fire,20,20,1.0,Steel,35,-35,-1.0,2.0
Incinerate,Stomp,Fire,20,20,1.0,Normal,55,-40,-1.375,2.0
Incinerate,Blaze Kick,Fire,20,20,1.0,Fire,60,-40,-1.5,2.0
Incinerate,Muddy Water,Fire,20,20,1.0,Water,35,-35,-1.0,2.0
Incinerate,Drain Punch,Fire,20,20,1.0,Fighting,20,-40,-0.5,2.0
Incinerate,Leaf Tornado,Fire,20,20,1.0,Grass,45,-40,-1.125,2.0
Incinerate,Fell Stinger,Fire,20,20,1.0,Bug,20,-35,-0.5714285714285714,2.0
Incinerate,Super Power,Fire,20,20,1.0,Fighting,85,-40,-2.125,2.0
Incinerate,Body Slam,Fire,20,20,1.0,Normal,60,-35,-1.7142857142857142,2.0
Cut,Water Gun Blastoise,Normal,3,2,1.5,Water,6,4,1.5,2.0
Incinerate,Thunder Punch,Fire,20,20,1.0,Electric,55,-40,-1.375,2.0
Lick,Water Gun Blastoise,Ghost,3,3,1.0,Water,6,4,1.5,2.0
Bite,Water Gun Blastoise,Dark,4,2,2.0,Water,6,4,1.5,2.0
Water Gun,Water Gun Blastoise,Water,3,3,1.0,Water,6,4,1.5,2.0
Dragon Breath,Water Gun Blastoise,Dragon,4,3,1.3333333333333333,Water,6,4,1.5,2.0
Scratch,Water Gun Blastoise,Normal,4,2,2.0,Water,6,4,1.5,2.0
Hex,Shadow Punch,Ghost,6,12,0.5,Ghost,40,-35,-1.1428571428571428,3.0
Splash,Aqua Tail,Water,0,12,0.0,Water,55,-35,-1.5714285714285714,3.0
Splash,Shadow Punch,Water,0,12,0.0,Ghost,40,-35,-1.1428571428571428,3.0
Incinerate,Flame Wheel,Fire,20,20,1.0,Fire,60,-55,-1.0909090909090908,3.0
Incinerate,Megahorn,Fire,20,20,1.0,Bug,110,-55,-2.0,3.0
Incinerate,Flamethrower,Fire,20,20,1.0,Fire,90,-55,-1.6363636363636365,3.0
Incinerate,Dig,Fire,20,20,1.0,Ground,80,-50,-1.6,3.0
Splash,Dragon Claw,Water,0,12,0.0,Dragon,50,-35,-1.4285714285714286,3.0
Present,Breaking Swipe,Normal,3,12,0.25,Dragon,50,-35,-1.4285714285714286,3.0
Incinerate,Dark Pulse,Fire,20,20,1.0,Dark,80,-50,-1.6,3.0
Splash,Cross Poison,Water,0,12,0.0,Poison,50,-35,-1.4285714285714286,3.0
Incinerate,Psybeam,Fire,20,20,1.0,Psychic,70,-60,-1.1666666666666667,3.0
Present,Double Iron Bash,Normal,3,12,0.25,Steel,50,-35,-1.4285714285714286,3.0
Incinerate,Stone Edge,Fire,20,20,1.0,Rock,100,-55,-1.8181818181818181,3.0
Splash,Leaf Blade,Water,0,12,0.0,Grass,70,-35,-2.0,3.0
Splash,Horn Attack,Water,0,12,0.0,Normal,40,-35,-1.1428571428571428,3.0
Incinerate,Discharge,Fire,20,20,1.0,Electric,65,-45,-1.4444444444444444,3.0
Splash,Body Slam,Water,0,12,0.0,Normal,60,-35,-1.7142857142857142,3.0
Gust,Mirror Shot,Flying,16,12,1.3333333333333333,Steel,35,-35,-1.0,3.0
Splash,Bone Club,Water,0,12,0.0,Ground,40,-35,-1.1428571428571428,3.0
Gust,Muddy Water,Flying,16,12,1.3333333333333333,Water,35,-35,-1.0,3.0
Incinerate,Wrap,Fire,20,20,1.0,Normal,60,-45,-1.3333333333333333,3.0
Gust,Breaking Swipe,Flying,16,12,1.3333333333333333,Dragon,50,-35,-1.4285714285714286,3.0
Gust,Razor Shell,Flying,16,12,1.3333333333333333,Water,35,-35,-1.0,3.0
Gust,Power Up Punch,Flying,16,12,1.3333333333333333,Fighting,20,-35,-0.5714285714285714,3.0
Present,Muddy Water,Normal,3,12,0.25,Water,35,-35,-1.0,3.0
Present,Razor Shell,Normal,3,12,0.25,Water,35,-35,-1.0,3.0
Present,Power Up Punch,Normal,3,12,0.25,Fighting,20,-35,-0.5714285714285714,3.0
Hex,Aqua Tail,Ghost,6,12,0.5,Water,55,-35,-1.5714285714285714,3.0
Hex,Night Slash,Ghost,6,12,0.5,Dark,50,-35,-1.4285714285714286,3.0
Gust,Sacred Sword,Flying,16,12,1.3333333333333333,Fighting,60,-35,-1.7142857142857142,3.0
Gust,Double Iron Bash,Flying,16,12,1.3333333333333333,Steel,50,-35,-1.4285714285714286,3.0
Present,Sacred Sword,Normal,3,12,0.25,Fighting,60,-35,-1.7142857142857142,3.0
Gust,Fell Stinger,Flying,16,12,1.3333333333333333,Bug,20,-35,-0.5714285714285714,3.0
Present,Weather Ball Normal,Normal,3,12,0.25,Normal,55,-35,-1.5714285714285714,3.0
Present,Psychic Fangs,Normal,3,12,0.25,Psychic,40,-35,-1.1428571428571428,3.0
Gust,Weather Ball Normal,Flying,16,12,1.3333333333333333,Normal,55,-35,-1.5714285714285714,3.0
Splash,Cross Chop,Water,0,12,0.0,Fighting,55,-35,-1.5714285714285714,3.0
Gust,Psychic Fangs,Flying,16,12,1.3333333333333333,Psychic,40,-35,-1.1428571428571428,3.0
Splash,Night Slash,Water,0,12,0.0,Dark,50,-35,-1.4285714285714286,3.0
Incinerate,Ice Beam,Fire,20,20,1.0,Ice,90,-55,-1.6363636363636365,3.0
Hex,Cross Chop,Ghost,6,12,0.5,Fighting,55,-35,-1.5714285714285714,3.0
Water Shuriken,Muddy Water,Water,6,14,0.42857142857142855,Water,35,-35,-1.0,3.0
Water Shuriken,Spirit Shackle,Water,6,14,0.42857142857142855,Ghost,50,-40,-1.25,3.0
